3820,802,42.56
250,1457,63.99
155,1361,60.00
3015,806,43.83
270,679,38.61
544,743,40.75
1800,393,36.40
3656,1241,58.12
472,564,36.59
4975,1219,56.66
2871,1286,58.63
3139,903,44.55
3653,1343,60.66
3294,79,39.39
3193,657,38.49
2206,1574,67.31
2160,918,46.13
281,1300,56.82
458,82,35.90
372,1515,68.75
2531,176,33.94
253,542,33.98
1438,446,39.73
2128,1295,64.52
1146,377,32.15
1548,1354,61.69
2169,1091,50.33
4991,723,43.49
1462,881,43.97
601,628,38.17
289,769,48.90
2215,1490,62.87
3618,141,32.65
3572,103,33.33
1805,127,24.29
4668,1094,52.15
455,567,35.24
1198,1303,57.57
3836,1561,67.38
3611,446,37.15
920,1228,56.52
3116,1175,53.77
2693,1267,56.54
771,639,41.32
1056,993,54.81
672,903,47.91
413,1298,58.17
303,934,46.93
98,1146,56.33
1567,549,41.09
432,91,40.48
1255,835,44.05
3468,1092,59.38
1426,270,29.44
3659,408,35.04
37,949,49.35
4288,878,48.98
2913,788,42.86
550,1244,58.75
4823,73,47.83
823,823,41.72
1309,1447,61.73
4941,81,30.49
2565,523,40.91
1124,776,46.98
468,668,38.91
2369,594,38.17
655,78,34.55
2844,812,44.37
3274,958,51.24
775,88,26.67
4635,748,44.67
1841,443,31.15
2354,725,40.65
2500,1185,54.98
1110,976,52.56
757,454,34.26
4485,1187,53.92
670,337,40.49
1824,175,32.38
4173,1468,66.26
872,1258,57.83
2613,514,34.42
960,76,36.84
2476,959,46.00
4507,1095,51.54
3494,791,44.25
2336,707,40.45
1504,418,33.33
2982,443,47.80
1533,909,51.13
4356,1190,57.28
2166,542,40.08
4210,145,24.65
1247,865,44.41
3411,1499,65.90
2370,1440,64.38
1865,429,35.86
1073,64,24.07
3846,947,46.47
2139,879,47.00
3803,475,36.39
3258,1642,73.85
1043,530,33.13
2848,1217,62.82
1490,808,48.30
2974,271,27.00
4310,801,43.85
1961,943,48.23
2325,1098,54.05
566,1050,47.12
1463,1144,57.63
3312,1176,59.62
4769,1221,57.57
321,338,32.15
1723,72,50.00
4904,493,41.87
4256,1213,60.58
1018,1048,56.09
2647,83,29.03
85,1069,52.79
2773,990,55.76
2822,1419,62.66
1678,1491,66.77
3052,1105,51.96
4077,1323,58.63
2659,868,47.83
3437,1065,51.76
1852,793,44.21
4895,567,36.27
1002,1205,53.72
2668,654,38.87
4150,1116,54.15
4272,920,44.69
108,265,29.02
2904,1026,46.13
143,1486,68.11
3115,769,41.94
2337,1155,55.41
4959,620,41.04
2992,1194,58.96
3834,1298,55.74
353,849,45.45
118,995,51.61
3995,864,47.62
3451,1234,61.46
3157,688,39.17
2841,902,49.01
4452,281,30.09
2928,83,36.11
1951,1264,56.49
4112,956,48.64
3388,719,46.82
2579,165,32.48
528,1116,51.37
3901,83,25.37
1112,824,42.39
3382,522,50.92
3444,1160,54.05
907,864,55.12
1768,622,37.29
3120,1027,47.63
311,640,38.54
3459,702,44.30
4305,270,27.91
4821,227,30.19
4348,1021,49.35
4000,905,49.21
666,998,50.79
4177,1217,55.26
1920,1284,55.81
1423,1526,66.23
3348,67,28.00
2358,1020,47.64
4019,74,58.33
4672,68,28.57
4692,687,41.23
3793,787,41.08
964,486,36.45
3931,1158,55.05
2655,611,47.15
3164,835,44.27
732,88,23.00
3681,69,34.15
2633,73,29.82
1276,1142,52.79
3463,579,42.98
2200,478,33.45
4836,1005,51.33
1464,721,40.39
4958,457,34.06
1685,722,40.89
3906,119,23.12
889,979,51.10
1180,1065,57.73
3128,600,35.95
1692,844,48.16
4392,256,41.32
3708,1341,56.96
4553,1091,52.63
1644,227,32.73
4273,609,41.61
4430,1143,60.45
4688,681,38.75
3551,786,42.77
1624,800,43.97
591,808,39.50
1125,893,50.00
4700,861,48.58
622,556,39.80
60,609,40.20
4779,1021,49.35
1714,1029,49.68
3598,1041,51.61
4916,764,40.69
2868,123,29.91
1029,968,46.98
3272,1118,52.96
3448,1209,54.00
4637,580,34.97
4088,930,49.19
1908,1246,58.47
3732,1262,57.10
1710,227,37.23
2064,660,38.51
4732,778,46.86
3008,435,42.47
2022,1149,52.70
1612,510,32.80
1563,69,32.61
2293,1442,65.35
4007,1525,66.97
740,903,55.42
4470,851,42.68
2895,933,45.57
1163,1028,48.62
2574,314,33.04
3711,486,31.95
441,406,30.27
2838,1071,48.22
2282,841,44.73
2927,140,29.70
3652,628,38.91
2829,797,48.15
3150,1034,55.80
3085,382,32.32
3588,535,35.61
1454,1171,55.05
364,158,32.97
4337,673,45.16
1876,1070,53.66
1432,191,33.33
4568,1341,57.98
2495,850,42.99
2137,655,37.86
2244,1534,67.31
3829,539,36.45
3171,1248,56.49
128,1294,60.80
3452,1381,63.43
2154,455,33.13
3978,779,42.72
4014,1073,54.19
1192,701,37.66
1722,783,44.31
2353,591,35.74
850,837,47.48
1294,608,43.29
516,593,37.31
3862,131,31.25
3434,91,23.12
3790,979,56.07
3226,116,27.90
2093,1155,58.73
2255,997,50.32
837,1035,51.96
406,964,48.03
2114,1353,60.13
3114,834,49.04
3041,510,47.67
4306,524,32.72
2765,1013,48.86
4002,545,38.37
4512,1050,52.48
2694,86,37.84
3787,818,41.72
3915,64,34.78
3890,719,41.35
926,977,55.03
2457,255,27.41
2794,529,37.70
419,1045,47.62
678,638,45.92
1384,516,42.23
3792,514,36.56
473,190,32.45
865,901,42.77
3614,726,49.00
4133,1099,51.97
2033,791,43.30
2260,795,48.08
4948,109,30.93
285,767,42.48
1781,816,43.81
1948,873,45.03
4684,926,42.95
4056,1380,59.87
2702,739,43.54
807,502,36.16
2073,898,46.73
426,1082,52.27
3192,852,43.54
3129,600,35.69
2968,777,43.48
4971,1231,55.66
561,1292,58.96
2740,1503,67.60
2945,861,47.65
1495,972,53.01
4574,648,38.41
3207,804,43.99
4477,1777,75.69
3718,520,33.65
2048,441,34.96
3959,1085,56.88
288,1120,53.27
2431,1316,60.44
873,147,37.65
3155,1018,53.82
3033,210,28.76
2505,510,34.06
1087,648,38.34
3713,600,39.23
2760,93,26.92
1283,171,26.67
3396,286,28.69
2586,875,47.12
3644,939,52.88
1625,1061,52.58
4987,1214,57.37
52,1274,59.20
1786,1225,55.99
3325,269,32.30
1213,868,47.91
5042,630,41.38
3661,1065,55.05
1531,864,43.79
1179,971,51.53
1482,1219,55.37
2624,1147,54.13
1308,1171,54.87
3980,794,43.55
4327,1547,66.15
266,1116,54.43
1289,458,36.29
1118,862,41.37
878,991,49.84
2617,80,37.50
4408,492,34.77
2799,1444,61.44
3840,723,46.96
4366,492,35.74
1333,963,47.32
1134,595,43.40
774,122,30.99
3360,1056,52.67
176,590,40.40
1015,1305,60.52
2077,761,42.81
4487,1115,60.38
4175,68,33.33
3087,891,48.99
1362,939,51.27
2503,1194,69.35
3646,963,45.93
3467,1093,48.05
3918,1116,56.25
2127,942,44.08
3592,1226,55.90
4155,1071,52.29
2946,230,41.32
4743,724,45.00
567,890,45.65
1164,677,38.99
783,619,36.70
4815,914,45.34
4423,424,40.70
811,495,50.92
4926,637,37.89
3040,545,48.62
1121,478,39.22
806,631,40.30
3338,613,39.82
4207,1261,57.59
971,1191,53.75
1926,402,37.93
28,1323,58.42
3847,663,40.00
3374,810,42.12
4951,1498,66.06
5039,1278,62.38
77,1009,47.25
4450,821,42.48
1266,1622,69.94
3770,678,39.31
3650,1133,53.74
2566,1309,59.74
1021,1176,55.35
