15620	15620
15742	15742
15742	15405
2277	2277
2277	9480
2277	15593
2277	92
2277	93
2277	9101
2277	10902
2277	10602
2277	11574
2277	9703
2277	11646
2277	14904
2277	16060
2277	413
2277	2384
2277	15488
2277	9147
2277	416
2277	11725
2277	15834
2277	14895
2277	414
2277	14899
2277	415
2277	7943
2277	417
2277	15599
2277	9122
2277	4657
2277	14923
2277	10733
2277	14900
2277	11097
2277	11473
2277	94
2277	11800
15401	15401
15401	3083
15401	11013
15401	9268
15401	3095
15401	11036
15401	9546
15401	11033
11023	11023
11023	9528
11023	16023
11023	9255
11023	12835
11023	16013
11023	16041
11023	1926
11023	2304
11023	13347
11023	10190
11023	1082
11023	2746
11023	2385
11023	12882
11023	12839
11023	1937
11023	10429
11023	16042
11023	1759
11023	4649
11023	16021
10608	10608
10608	9211
10608	11222
10608	15734
10608	9645
10608	14858
10608	9307
10608	16037
10608	10993
10608	2216
10608	2345
10608	2352
10608	15854
10608	11446
10608	15818
10608	2233
10608	15407
10608	11133
10608	14866
10608	15770
10608	15767
10608	15748
10608	15764
10608	15747
10608	14871
10608	2226
10608	11550
10608	10611
10608	2228
10608	15781
10608	10610
1561	1561
1561	8854
10432	10432
9728	9728
9728	9551
9728	9308
9728	9404
9728	11881
9728	9427
9728	1825
9728	9629
9728	10558
9728	15586
9728	9419
9728	2423
9728	9386
9728	9316
9728	9537
9728	11349
9728	2422
9374	9374
9374	9390
9374	9395
9374	9411
9374	9439
7756	7756
11301	11301
11301	11901
11301	10838
9336	9336
8114	8114
8114	11589
8114	11511
8114	5092
8114	16260
2699	2699
2699	10649
2699	14336
2556	2556
2556	11080
2451	2451
2451	11510
3770	3770
2454	2454
2454	9633
2454	8924
2454	1088
2454	6442
2454	2559
2454	3429
2454	16601
2454	12138
2454	519
2454	4267
2454	14377
2454	6846
2454	3348
616	616
8706	8706
3065	3065
3293	3293
3675	3675
8111	8111
3604	3604
12521	12521
9397	9397
7859	7859
7859	7766
7859	13703
7859	14090
7859	6783
1217	1217
1217	6886
11821	11821
2152	2152
2152	2245
2152	13403
2152	11009
9293	9293
9293	6885
9293	6895
9293	6044
9293	9286
9293	8699
9293	3682
9293	11894
9293	1036
9293	13886
9293	3368
11240	11240
11240	9456
1706	1706
5386	5386
5386	12195
5386	4297
5386	3888
5386	1073
5386	2431
5386	6166
5386	3404
5386	10633
5386	14937
5386	962
5386	6802
5386	14046
5386	8684
5386	12951
5386	5635
5386	12474
5386	554
5386	638
5386	715
5386	2437
5386	15450
5386	10203
5386	14218
5386	813
5386	7278
5386	11927
5386	14410
5386	6754
5386	10487
5386	3300
5386	10443
5386	8885
5386	8926
5386	505
5386	12768
5386	5439
5386	10275
5386	6163
5386	7652
5386	10255
5386	5627
5386	2846
5386	7605
5386	590
5386	1412
5386	5078
5386	12923
5386	14647
5386	4059
5386	426
5386	13655
5386	7216
5386	891
5386	7453
5386	4435
5386	3493
5386	4501
5386	5668
5386	16040
5386	13544
5386	12602
5386	6041
5386	7875
5386	2257
5386	16009
5386	12059
5386	1525
5386	2732
5386	8307
5386	9322
5386	6370
5386	3262
5386	3326
5386	534
5386	3376
5386	2962
5386	6216
5386	11032
5386	11018
5386	8435
5386	7439
5386	6987
5386	1251
5386	7436
5386	1554
5386	15119
5386	13761
5386	6953
5386	6743
5386	1579
5386	8427
5386	9548
5386	7434
5386	8834
5386	4288
5386	12398
5386	13481
5386	14652
5386	8552
5386	6748
5386	13413
5386	13144
5386	14509
5386	14198
5386	16436
5386	201
5386	5531
5386	11011
5386	11713
5386	12982
5386	5774
5386	15280
5386	14979
5386	12286
5386	9418
5386	3117
5386	12832
5386	15282
5386	14060
5386	7773
5386	12155
5386	8809
5386	3257
5386	1606
5386	14507
5386	5040
5386	8324
5386	5340
5386	2288
5386	8772
5386	9765
5386	16499
5386	7598
5386	2922
5386	14677
5386	5523
5386	7189
5386	7835
5386	7103
5386	7107
5386	12204
5386	7182
5386	3172
5386	8677
5386	5169
5386	16553
5386	14567
5386	2295
5386	15901
5386	1223
5386	3756
5386	7932
5386	1436
5386	4289
5386	5600
5386	5184
5386	3693
5386	129
5386	15200
5386	14350
5386	12076
5386	6289
5386	16514
5386	11714
5386	14695
5386	14690
