11190,68
18954,938
8156,75
3720,1171
2046,1066
8010,1041
3336,1336
6720,498
1403,633
16558,768
6650,1568
7977,594
5085,289
4092,1196
5850,1295
3068,1114
12175,1265
15571,1518
17537,1206
5083,337
9420,1067
11665,1269
6592,111
19494,754
14356,442
4836,1179
384,502
201,785
11529,1211
6318,1152
6655,1471
4965,1190
2793,761
7192,603
7958,707
13296,95
10919,1263
16584,299
2383,1188
4094,1169
10665,1718
3959,1373
2483,148
13048,85
15070,882
448,1245
653,294
16715,908
13485,416
17388,442
14747,1438
17966,1268
5056,992
9362,1413
473,1230
16032,79
18029,678
13229,934
15299,989
14121,658
16557,894
19046,1199
8771,576
7822,68
3238,713
18127,1253
15712,1257
3095,1202
5341,1118
15474,1017
7811,1330
2736,676
1895,778
13823,687
3888,893
14399,68
1359,564
17860,1125
9558,912
7151,136
6571,819
1312,1305
5630,71
7749,1036
10575,1051
11180,89
4928,1160
6750,756
9559,120
4075,832
5533,1170
833,895
6178,1644
1512,1101
14387,784
7672,1082
7319,95
19945,1139
5773,1031
16664,684
2047,563
16537,869
2679,1081
264,966
17968,140
17163,559
153,1299
12918,881
7253,1119
9827,350
3435,1434
17818,230
15593,1039
14110,881
12618,542
11666,1526
8477,604
114,1280
1627,194
9877,1087
19090,857
9410,611
3928,290
9830,1013
10090,481
12493,707
5430,721
16195,1214
11197,619
4340,98
9268,275
6819,1227
10890,679
7953,1003
19703,1211
13879,1508
12067,1329
2646,473
15013,1091
10639,950
5094,1220
12283,711
16649,618
18301,92
12971,977
12554,1106
18550,1015
11940,1122
15440,1021
17759,827
16964,1494
12331,1545
16742,769
4611,356
15434,103
15189,1272
11740,801
19513,1047
16273,1298
1776,1377
15130,1223
19983,77
3961,986
12542,772
3395,1193
6737,972
16485,103
16932,931
18266,1418
11915,1296
1977,997
3294,1170
20018,676
18803,531
11882,1129
1543,1199
6382,951
13643,1033
7624,1406
9538,1042
4926,789
6914,700
7823,897
16398,875
13154,1224
17292,887
7121,1052
329,1029
7654,1402
16506,75
19382,75
10251,841
17284,1124
14478,891
2311,1452
19730,356
4923,982
11775,82
434,790
15402,1561
219,1044
5173,1327
6604,1058
14619,1557
19815,678
3080,81
3811,804
18290,1432
18371,961
10463,931
7013,1006
9891,897
435,831
9212,755
12569,908
9503,1063
6800,629
10425,560
17314,1309
19967,826
9711,1276
11000,828
16941,139
8303,997
14550,1134
17023,598
8995,970
10819,1654
2923,1122
701,954
1482,1585
9614,1025
17971,1385
5626,896
7382,393
4384,1140
12360,1673
6062,936
16442,1515
8703,1442
8327,1023
8664,79
15530,1208
13609,1055
187,1154
5268,1009
546,1167
9059,842
2734,82
5199,1069
13990,857
15408,1070
14831,165
8962,1018
3110,1403
11296,131
9472,1239
12237,704
9116,1255
8728,1093
6337,507
8512,1036
